,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
157,4535961,Enid,US,36.4,36.4,1522958160,69.8,35,20,9.17
159,1529651,Altay,CN,47.83,47.83,1522959934,3.73,52,0,2.15
162,5983430,Innisfail,CA,52.02,52.02,1522958400,15.8,47,20,10.29
183,3863379,Lujan,AR,-46.57,-46.57,1522959936,55.75,28,76,11.21
200,3401845,Conceicao do Araguaia,BR,-8.26,-8.26,1522958400,89.6,59,40,3.38
210,3397967,Itaituba,BR,-4.26,-4.26,1522958400,80.6,88,75,3.71
212,3388456,Sao Jose da Coroa Grande,BR,-8.9,-8.9,1522959978,79.96,85,92,9.19
230,1512979,Mangit,UZ,40.6,40.6,1522956600,59,51,0,6.93
240,3440963,Progreso,UY,-34.68,-34.68,1522958400,80.29,69,0,8.05
259,2319133,Warri,NG,5.52,5.52,1522959942,80.77,77,12,8.75
260,1512101,Agirish,RU,61.92,61.92,1522959951,22.45,79,56,3.38
269,4120524,Marion,US,35.21,35.21,1522959300,59.02,41,90,9.17
270,7082481,Khuzdar,PK,27.8,27.8,1522959973,53.59,84,36,0.92
309,5354943,Half Moon Bay,US,37.46,37.46,1522958400,62.26,54,75,5.82
311,2038067,Chifeng,CN,42.27,42.27,1522959945,22.72,82,92,16.69
385,3870282,Talcahuano,CL,-36.72,-36.72,1522954800,64.4,52,0,13.87
416,927643,Machinga,MW,-15.18,-15.18,1522959950,70.24,96,8,3.6
418,1630723,Poso,ID,-1.4,-1.4,1522959950,76.63,100,12,2.37
457,6104820,Pinawa,CA,50.15,50.15,1522959984,22.18,71,32,15.79
460,6542155,Trapani,IT,38.02,38.02,1522958100,56.19,87,40,4.7
465,3453060,Pontes e Lacerda,BR,-15.23,-15.23,1522959985,82.84,80,64,2.93
471,3601874,San Matias,HN,13.97,13.97,1522958400,82.4,37,40,11.41
478,3671337,Puerto Rondon,CO,6.28,6.28,1522959995,84.28,73,24,8.3
490,3583178,San Vicente,SV,13.64,13.64,1522957800,86,58,75,4.7
492,3664659,Carauari,BR,-4.88,-4.88,1522959954,85.18,74,56,2.93
18,372753,Kassala,SD,15.45,15.45,1522959956,68.71,21,0,4.61
36,2265447,Olhao,PT,37.03,37.03,1522958400,60.8,67,0,8.05
56,5287262,Buckeye,US,33.37,33.37,1522958220,86.5,17,1,8.05
68,488635,Nikolayevka,RU,46.73,46.73,1522959960,45.22,77,48,7.18
70,2775020,Judenburg,AT,47.17,47.17,1522957800,43.07,93,32,3.36
114,3577154,Oranjestad,AW,12.52,12.52,1522958400,84.2,74,20,14.99
132,581049,Arkhangelsk,RU,64.54,64.54,1522956600,39.2,80,90,8.95
167,1489962,Tavda,RU,58.04,58.04,1522959965,29.29,95,88,7.96
180,924572,Nsanje,MZ,-16.92,-16.92,1522959967,78.7,74,0,6.4
189,1717103,Columbio,PH,6.63,6.63,1522959976,68.44,100,56,2.37
197,648855,Lapua,FI,62.97,62.97,1522957800,35.6,100,90,4.7
218,2022317,Khor,RU,47.88,47.88,1522959969,13.99,68,0,2.71
233,737021,Zonguldak,TR,41.25,41.25,1522959979,50.98,80,0,2.71
239,2013279,Vostok,RU,46.45,46.45,1522959980,13.18,72,32,2.15
251,2013392,Vilyuysk,RU,63.75,63.75,1522959981,-0.68,67,0,3.27
254,3910094,Monteagudo,BO,-19.8,-19.8,1522958400,82.4,61,75,2.93
283,1028434,Quelimane,MZ,-17.88,-17.88,1522954800,80.6,88,0,8.05
341,3662927,Pauini,BR,-7.71,-7.71,1522959976,81.94,83,12,3.49
350,2633553,Workington,GB,54.64,54.64,1522959976,40.27,88,88,9.98
357,1737486,Bintulu,MY,3.17,3.17,1522958400,77,100,90,2.24
378,3358666,Aranos,NA,-24.14,-24.14,1522959987,71.14,47,76,4.38
387,2025489,Chernigovka,RU,44.34,44.34,1522959978,26.32,83,64,3.71
392,3453420,Planaltina,BR,-15.62,-15.62,1522958400,73.4,78,20,2.24
409,1337618,Manadhoo,MV,5.77,5.77,1522959980,83.2,100,24,2.71
415,1257587,Salur,IN,18.52,18.52,1522959981,68.44,91,0,1.81
436,113659,Tabas,IR,33.6,33.6,1522959982,61.33,34,100,2.48
439,5921525,Mackay,CA,53.65,53.65,1522958400,19.42,44,75,11.41
440,1695357,Bani,PH,15.89,15.89,1522959983,72.31,100,48,3.6
487,1638775,Payo,ID,-3.75,-3.75,1522959986,70.51,96,48,2.71
488,1791888,Jijiang,CN,29.8,29.8,1522956600,48.2,87,75,6.71
